Index,Acts number,Acts 
,3 of 14,Public Authorities Protection Act 1893
,4 of 14,"Act. Under the Madras General Clauses Act, 1891"
,5 of 14,"Bombay Port Trust Act, 1879"
,6 of 14,"Sea Customs Act, 1878"
,7 of 14,"Sec. 15 2 Limitation Act, 1963"
,8 of 14,"Indian Railways Act, 1890"
,9 of 14,"Bootamal on the score that art. 31, Limitation Act, 1908"
,10 of 14,"Indian Contract Act, 1872"
,11 of 14,"Ellis 4 decided in 1855 under S. 139 of the Public Health Act, 1848"
,12 of 14,"Central Excis and Salt Act, 1944"
,13 of 14,"Act The Bombay Land Improvement Scheme Act, 1942"
,14 of 14,"Factories Act, 1948"
1708,1 of 2,"Defence of India Act, 1971"
,2 of 2,"Maintenance of Internal Security Act, 1971"
1709,1 of 3,"Representation of the People Act, 1951"
,2 of 3,"Constitution and the Representation of the People Act, 1950"
,3 of 3,"Delhi Municipal Corporation Act, 1957"
1710,1 of 3,"Statutes-12 Edition. 40. and Cosmetic Act, 1940"
,2 of 3,"Provisions of the Drugs Act, 1940"
,3 of 3,"The Drugs and Cosmetics Act, 1940"
1711,1 of 2,Code of Criminal Procedure required reasons to be given. By Act
,2 of 2,Before Criminal Amendment Act
1712,1 of 1,"Maintenance of Internal Security Act, 1971"
1713,1 of 3,"Section 5 clause a of Maintenance of Internal Security. Act, 1971"
,2 of 3,"Under Section 10 of the Maintenance of Internal Security Act, 1971"
,3 of 3,"Section 11 of the Maintenance of Internal Security Act, 1971"
1714,1 of 1,"Sabha under section 73A of the Bombay Industrial Relations Act, 1946"
1715,1 of 4,Merged Territories Miscellaneous Alienation Abolition Act
,2 of 4,High Court for striking down the Act
,3 of 4,Madhya Pradesh Abolition of Cash Grants Act
,4 of 4,Bombay Merged Territories Mislaneous Alienations. Abolition Act
1716,1 of 2,"Second Schedule to the Indian Arbitration Act, 1940"
,2 of 2,"Original Application under s. 20 of the Indian Arbitration Act, 1940"
1717,1 of 2,"Section 1 3 of the Defence of India Act, 1971"
,2 of 2,"Section l2 and l3 of the Maintenance of Internal Security Act, 1971"
1718,1 of 10,"Bombay Public Trusts Act, 1950"
,2 of 10,"Societies Registration Act, 1960"
,3 of 10,"Bombay Labour Welfare Fund Gujarat Amendment Act, 1962"
,4 of 10,"Labour Welfare Fund Gujarat Extension and Amendment Act, 1961"
,5 of 10,"Fund established under the Employees Provident Fund Act, 1952"
,6 of 10,"Berar Motor Vehicles Amendment Act, 1947"
,7 of 10,"Bombay Prohibition Act, 1949"
,8 of 10,"Bombay Labour Welfare Fund Act, 1953"
,9 of 10,"Amendment Act, 1947, amended s. 43 of the Motor Vehicles Act, 1939"
,10 of 10,"Section 2 ii  a of the Payment of Wages Act, 1936"
1719,1 of 4,"Madhya Pradesh Societies Act, 1959"
,2 of 4,"States under the States Reorganization Act, 1956"
,3 of 4,"Madhya Pradesh Secondary Education Act, 1959"
,4 of 4,"Madhya Pradesh Education Act, 1951"
1720,1 of 1,"Corporation, under s. 30 of the State Financial Corporation Act, 1951"
1721,1 of 2,"Factories Act, 1948"
,2 of 2,"Contract Labour Regulation and Abolition Act, 1970"
1722,1 of 1,"Prevention of Corruption Act, 1947"
1723,1 of 1,"West Bengal Criminal Law Amendment Special ,Courts Act, 1949"
1724,1 of 2,"Police Station under section 7 of the Essential Commodities Act, 1955"
,2 of 2,"Maintenance of Internal Security Act, 1971"
1725,1 of 3,"High Court was that S. 15 Limitation Act, 1908"
,2 of 3,"Lall 2 , dealing with article 179 of the old Limitation Act, 1877"
,3 of 3,"Art. 179 of the old Limitation Act, 1877"
1726,1 of 1,"Representation of the People Act, 1951"
1727,0 of 0,Empty
1728,1 of 2,"Jammu Kashmir Preventive Detention Act, 1964"
,2 of 2,"Maintenance of Internal Security Act, 1971"
1729,0 of 0,Empty
1730,1 of 4,"Hindu Succession Act, 1956"
,2 of 4,"Hindu Womens Right to property Act, 1937"
,3 of 4,"Hindu Law of Inheritance Amendment Act, 1929"
,4 of 4,"Hindu Law of inheritance Amendment Act, 1929"
1731,0 of 0,Empty
1732,0 of 0,Empty
1733,1 of 1,"The West Bengal Estates Acquisition Act, 1953"
1734,1 of 1,"Offenders Act, 1958"
1735,0 of 0,Empty
1736,0 of 0,Empty
1737,1 of 23,"Taxation-on Income investigation Commission Act, 1947"
,2 of 23,"Criminal Law Amendment Act, 1952"
,3 of 23,"West Bengal Criminal Law Amendment Special Courts Act, 1949"
,4 of 23,"Ors. 3 held that the Rajasthan Public Demands Recovery Act, 1952"
,5 of 23,"West Bengal Tribunals of Criminal Jurisdiction Act, 1952"
,6 of 23,"Indian Income Tax Amendment Act, 1954"
,7 of 23,"Indian Taxation oil income Investigation Commission Act, 1947"
,8 of 23,"Bombay Rents Hotel Lodging House Rates Control Act, 1947"
,9 of 23,"Code, or sub-s. 2 of s. 5 of the Prevention of Corruption Act, 1947"
,10 of 23,"Slum Areas Improvement and Clearance Act, 1956"
,11 of 23,"Juxtaposition with s. 47 of the Travancore Income-tax Act, 1121"
,12 of 23,"Bombay Public Safety Measures Act, 1947"
,13 of 23,"Bombay Municipal Corporation Amendment Act, 1960"
,14 of 23,"West Bengal Special Courts Act, 1950"
,15 of 23,"Taxation on Income Investigation Commission Act, 1947"
,16 of 23,"Public Premises Eviction of Unauthorised Occupants Act, 1971"
,17 of 23,"Public Premises and Land Eviction and Rent Recovery Act, 1959"
,18 of 23,"Preventive Detention Act, 1950"
,19 of 23,"Indian Income-tax and Business Profit Tax Amendment Act, 1948"
,20 of 23,"Bombay Rents, Hotel and Lodging House Rates Control Act, 1947"
,21 of 23,"Public Premises Eviction of Unauthorised Occupation Act, 1958"
,22 of 23,"Chapter V-A was introduced in the Bombay Municipal Act, 1888"
,23 of 23,"Ch. VA of the Bombay Municipal Corporation Act, 1888"
1738,1 of 2,"Madhya Pradesh Accommodation Control Act, 1955"
,2 of 2,"Madhya Pradesh Accommodation Control Act, 1961"
1739,1 of 4,"Section 25 FFF of the Industrial Disputes Act, 1947"
,2 of 4,"Section 33 C of the Industrial Disputes Act, 1947"
,3 of 4,"Section 25 FF of the Industrial Disputes Act, 1947"
,4 of 4,"Calcutta under s. 33 C  2 of the Industrial Disputes Act, 1947"
1740,0 of 0,Empty
1741,1 of 2,"Imports and Exports Control Act, 1947"
,2 of 2,"Import and Export Control Act, 1947"
1742,0 of 0,Empty
1743,1 of 1,"Foreign Judgments Reciprocal Enforcement Act, 1933"
1744,0 of 0,Empty
1745,1 of 3,"Rule, Bihar Sugarcane Regulation of Supply and Purchase Act, 1969"
,2 of 3,"Legislative List List II of the Government of India Act, 1935"
,3 of 3,"Constitution law known as Bihar Sugar Factories Control Act, 1937"
1746,1 of 1,"Bihar acting under s. 4 1 of the Indian Electricity Act, 1910"
1747,1 of 1,Court of Sessions under section 33 of the Evidence Act
1748,1 of 1,"Constitution Thirtieth Amendment Act, 1973"
1749,1 of 3,"Public Premises and Land Eviction and Rent Recovery Act, 1959"
,2 of 3,"The Tamil Nadu Land Encroachment Act, 1905"
,3 of 3,"Bombay Government Premises Eviction Act, 1955"
1750,1 of 6,"Jammu and Kashmir Agrarian Reforms Act, 1972"
,2 of 6,"The Jammu and Kashmir Big Landed Estates Abolition Act, 2007"
,3 of 6,"The Jammu and Kashmir Consolidation of Holdings Act, 1962"
,4 of 6,"Jammu and Kashmir Tenancy Stay of Ejectment Proceedings Act, 1966"
,5 of 6,"Estates Abolition Act, 2007 The Jammu and Kashmir Tenancy Act, 1980"
,6 of 6,"Proceedings Act, 1966 The Jammu and Kashmir Land Revenue Act, 1996"
1751,1 of 2,"Customs Act, 1962"
,2 of 2,"Sections 3 4A of the Imports Exports Control Act, 1947"
1752,1 of 1,"Delhi Municipal Corporation Act, 1957"
1753,1 of 2,Section 5 1 d and Sec. 5 2 of Prevention of Corruption Act
,2 of 2,Sections 5 1 d and 5 2 of the Prevention of Corruption Act
1754,1 of 3,"Act and sections 81 and 83 of the Bombay Reorganisation Act, 1960"
,2 of 3,"Hyderabad State piior to the States Reorganisation Act, 1956"
,3 of 3,"Part X of the States Reorganisation Act, 1956"
1755,1 of 4,"Pradesh under section 115 of the States Reorganisation Act, 1956"
,2 of 4,"Act, 1956. The effect of the States Reorganization Act, 1956"
,3 of 4,"States took place under the States Reorganization Act, 1956"
,4 of 4,"India under section 115 5 of the States Reorganisation Act, 1956"
1756,1 of 5,"West Bengal Premises Rent Control Temporary Provisions Act, 1950"
,2 of 5,"West Bengal Premises Tenancy Amendment Act, 1969"
,3 of 5,"West Bengal Premises Tenancy Amendment Act, 1968"
,4 of 5,"West Bengal Premises Tenancy Act, 1956"
,5 of 5,"West Bengal Premises Tenancy Second Amendment Act, 1969"
1757,1 of 1,"Andhra Pradesh General Sales Tax Amendment Act, 1971"
1758,1 of 1,"Chapter IVA of th-- Motor Vehicles Act, 1939"
1759,1 of 3,"The definition is the same as in the English Sale of Goods Act, 1893"
,2 of 3,"Bengal Finance Sales Tax Act, 1941"
,3 of 3,"Central Sales Tax Act, 1956"
1760,1 of 17,Rule 76 1 is invalid and ultra vires section 40 of the Act
,2 of 17,"Uttar Pradesh Krishi Utpadhan Mandi Adhiniyam, 1964 U.P. Act"
,3 of 17,Market Committee under section 13 of the Act
,4 of 17,"Act, have the powers to- issue or renew licences under this Act"
,5 of 17,It is further submitted that there is numberguidance in the Act
,6 of 17,Court had to deal with in the Gold Control Act
,7 of 17,Act section 40 2 . There is a schedule to the Act
,8 of 17,"Committee shall, for the purposes of this Act"
,9 of 17,The rule is number ultra vires section 40 of the Act
,10 of 17,"It is, therefore, clear that the principal object of this Act"
,11 of 17,Act No. XXV of 1964 as amended by U.P. Act
,12 of 17,Committee. Some provisions of similar Act
,13 of 17,Act. As the preamble shows the Act
,14 of 17,India and Ors. 1 This was a case under the Gold Control Act
,15 of 17,Act No. 10 of 1970  briefly called the Act
,16 of 17,But the word region is numberhere defined in the Act
,17 of 17,Committee means a Committee companystituted under this Act
1761,1 of 2,"Mysore Forest Act, 1963"
,2 of 2,"Mysore Land Revenue Act, 1964"
1762,1 of 1,"Act as amended by section 6 d of the Defence of India Act, 1971"
1763,1 of 3,"Parliament, while enacting the Contempt of Courts Act, 1971"
,2 of 3,"Administration of Justice Act, 1960"
,3 of 3,"Appeal under Section 19 of the Contempt of Court Act, 1971"
1764,0 of 0,Empty
1765,1 of 2,"Temporary Control of Rent and Eviction Act, 1947"
,2 of 2,"Under s. 23 of the Indian Contract Act, 1872"
1766,1 of 1,"Article 31 2 of the Constitution. The Land Acquisition Act, 1894"
1767,1 of 5,"Delhi Control of Building Operations Act, 1955"
,2 of 5,"Section 15 of the Delhi Development Act, 1957"
,3 of 5,"Commissioner of Delhi. Section 12 of the Delhi Development Act, 1957"
,4 of 5,"Land Acquisition Amendment and Validation Act, 1957"
,5 of 5,"Land Acquisition Act, 1894"
1768,1 of 4,"Betting and Lotteries Act, 1934"
,2 of 4,"Madras Place of Public Resorts Act, 1888"
,3 of 4,"Madras Public Health Act, 1939"
,4 of 4,"Scheme framed under the Madras Town Planning Act, 1920"
1769,1 of 3,"February 7, 1961. Notice under the Special Mar- riages Act"
,2 of 3,Section 103 of the Evidence Act
,3 of 3,Indian Evidence Act
1770,1 of 14,Court that these persons had number participated in the ac
,2 of 14,Expert shows that the bullet  Ex. 27  which was extrac
,3 of 14,In fac
,4 of 14,Ignoring the impac
,5 of 14,"Beni, in fac"
,6 of 14,"Nathoo, aaprently an independent,candidate, was in fac"
,7 of 14,Sahai and Radhey but since it was clear that there was in fac
,8 of 14,"When key witnesses deny the obvious, pretend ignorance of fac"
,9 of 14,Balak Ram there is a companycurrent finding of fac
,10 of 14,The fac
,11 of 14,Ex. 27  which was extrac
,12 of 14,Chairmanship of the Committee with the ac
,13 of 14,Sia Ram and Ved Prakash belonged to. In fac
,14 of 14,Suleman whose brother Mohammad Sultan. Vakil was an ac
1771,1 of 1,"Section 15 of the Essential Commodities Act, 1955"
1772,1 of 1,"Appeal under Section 116-A of the Representation of People Act, 1951"
1773,1 of 2,"Court against this decree. The Punjab Pre-emption Repeal Act, 1973"
,2 of 2,"Section 3 of the Punjab Pre-emption Repeal Act, 1973"
1774,1 of 1,Mines and Minerals Regulation and Development Act. 1948
1775,1 of 4,"Kutch Area and saying.- The Saurashtra Rent Control Act, 1951"
,2 of 4,"The Act of 1861 was repealed by the Crown Lands Act, 1884"
,3 of 4,"Judge. He held that s. 15 of the Saurashtra Rent Control Act, 1951"
,4 of 4,"Agricultural Holdings Act, 1908"
1776,1 of 1,"Of the Mysore Co-operative Societies Act, 1959"
1777,0 of 0,Empty
1778,0 of 0,Empty
1779,1 of 2,"Constitution Twentyeighth Amendment Act, 1972"
,2 of 2,"State, Service Officers Conditions of Service Act, 1972"
1780,1 of 3,States Reorganisa- tion Act
,2 of 3,States Reorganisation Act
,3 of 3,States Reorganization Act
1781,1 of 1,"No. 1 under S. 6 of the Indian Electricity Act, 1910"
1782,1 of 1,Section 3 1 of the Prisons Act
1783,1 of 2,"Section 43A or the Motor Vehicles Act, 1939"
,2 of 2,"Motor vehicles Madras Amendment Act, 1948"
1784,1 of 1,"Andhra Pradesh Buildings Lease, Rent and Eviction Control Act, 1960"
1785,1 of 1,"Rajasthan Land Acquisition Act, 1953"
1786,1 of 1,"Industrial Disputes Act, 1947"
1787,1 of 3,Hyderabad Act IX of 1309 Fasli  hereinafter called the Act
,2 of 3,Central Land Acquisition Act
,3 of 3,Hyderabad Land Acquisition Act Hyderabad Act
1788,1 of 1,"Maintenance of Internal Security Act, 1971"
1789,1 of 2,"Punjab Reorganisation Act, 1966"
,2 of 2,"Punjab under the Punjab Re-organization Act, 1966"
1790,0 of 0,Empty
1791,1 of 1,"Bombay General Clauses Act, 1904"
1792,1 of 1,"Maintenance of Internal Security Act, 1971"
1793,1 of 1,"Chapter IVA of the Motor Vehicles Act, 1939"
1794,0 of 0,Empty
1795,1 of 1,"Hindu Adoptions and Maintenance Act, 1956"
1796,1 of 3,"Central Salex Tax Amendment Act, 1969"
,2 of 3,Yaddalams case. After the Central Sales Tax Amendment Act. 1969
,3 of 3,"Central Sales Tax Amendment Act, 1969"
1797,1 of 2,"Trust companystituted income under the Indian Income-tax Act, 1922"
,2 of 2,"Indian Trusts Act, 1882"
1798,1 of 5,"Pakistan Administration. of Evacuee .Property Act, 1957"
,2 of 5,"Two other legislations, the Transfer of Evacuee Deposit Act, 1954"
,3 of 5,"Pakistan Administration of Evacuee Deposit Act, 1954"
,4 of 5,"Even so, the Pakistan Administration of Evacuee Property Act, 1957"
,5 of 5,"Transfer of Evacuee, Deposits Act, 1954"
1799,1 of 1,"Gujarat Panchayats Act, 1961"
1800,1 of 4,"Section 5 of the Amending Act, 1952"
,2 of 4,"Trust is registered under the Bombay Public Trust Act, 1950"
,3 of 4,"Under section 23 1 b of the Bombay Tenancy Act, 1939"
,4 of 4,"Bombay Tenancy and Agricultural Lands Act, 1948"
1801,1 of 1,"Maintenance of Internal Security Act, 1971"
1802,1 of 1,"Cochin University Act, 1971"
1803,1 of 3,"Shri Bankatlal under the Prevention of Food Adulteration Act, 1954"
,2 of 3,"Section 2 1 of the Prevention of Food Adulteration Act, 1954"
,3 of 3,"Maintenance of Internal Security Act, 1971"
1804,1 of 1,"Howrah, under the Maintenance of Internal Security Act, 1971"
1805,1 of 1,"Madras General Sales Tax Act, 1939"
1806,1 of 2,Foreign Exchange Regulation Act
,2 of 2,Foreign Exchange Regulations Act
1807,0 of 0,Empty
1808,1 of 1,"Madhya Pradesh as the Central Provinces Excise Act, 1915"
1809,1 of 17,"Act but by the Finance Act, 1950"
,2 of 17,"Income-tax Act, 1961 or under the Indian Income-tax Act, 1922"
,3 of 17,"Regulation, amongst other laws, the Indian Income-tax Act, 1961"
,4 of 17,"Government issued another order under s.12 of Finance Act, 1950"
,5 of 17,"Orders issued when the Indian Income-tax Act, 1886"
,6 of 17,"Order under s.12 of the Finance Act, 1950"
,7 of 17,"In making any assessment under the Indian Income-tax Act, 1922"
,8 of 17,"Act, or under the Indian Income-tax Act, 1922"
,9 of 17,"Under clause ii of section 32 1 of the Indian Income-tax Act, 1961"
,10 of 17,"In making any, assessment under the Indian Income-tax Act, 1922"
,11 of 17,"In making any assessment under the Income-tax Act, 1961"
,12 of 17,"Central Government by Section 12 of the Finance Act, 1950"
,13 of 17,"Finance Act 1950, the Indian In companye-tax Act, 1922"
,14 of 17,"Income-tax Act, 1885"
,15 of 17,"Indian Income-tax Act, 1961 or the Indian Income-tax Act, 1922"
,16 of 17,"States, amongst other Acts. the Indian Income-tax Act, 1922"
,17 of 17,"Income- tax Act, 1961"
1810,1 of 12,"Industrial Dispute-, Act for short the Act"
,2 of 12,Act. Section 2 p of the Act
,3 of 12,Section 22 1 of the Act
,4 of 12,Rules framed under the Act
,5 of 12,"Court under Section 33-C 2 of the Industrial Dispute-, Act"
,6 of 12,Section 4 of the Act
,7 of 12,"Ltd., a Company incorporated under the Indian Companies Act"
,8 of 12,Labour Court and make it functus officio under the Act
,9 of 12,Assuming that the Act
,10 of 12,There is numberhing in the Act
,11 of 12,"October 22, 1969, can be binding under s. 18 1 of the Act"
,12 of 12,"Government, as required by Section 12 3 of the Act"
1811,0 of 0,Empty
1812,1 of 1,Under section 5 A of the Prevention of Corruption Act
1813,1 of 2,"Bombay Legislature Members Removal of Disqualifications Act, 1956"
,2 of 2,"Bombay Industrial Relations, Act, 1946"
1814,1 of 6,"Trade Union. Section 2 h of the Trade Unions Act, 1926"
,2 of 6,"High Court under section 66A 2 of the Income Tax Act, 1922"
,3 of 6,"Indian Income-tax Act, 1922"
,4 of 6,"Calcutta is a Trade Union registered under the Trade Unions Act, 1926"
,5 of 6,"Income-Tax Act, 1922"
,6 of 6,"High Court at Calcutta under sec. 66 1 of the Income Tax Act, 1922"
1815,1 of 6,"Administration and Probate Act, 1903"
,2 of 6,"Finance Act, 1966"
,3 of 6,"Act 10 of 1965 . The amendment brought about by the Finance Act, 1965"
,4 of 6,"New South Wales Stamp Duties Act, 1920"
,5 of 6,"Finance Act, 1959"
,6 of 6,"Estate Duty Act, 1953"
1816,1 of 3,"Legislative Assembly Members Removal of Disqualifications Act, 1971"
,2 of 3,"Himachal pradesh Board of School Education Act, 1968"
,3 of 3,"Himachal Pradesh Board of School Education Act, 1968"
1817,1 of 1,"Maintenance of Internal Security Act, 1971"
1818,1 of 1,"Maintenance of Internal Security Act, 1971"
1819,1 of 2,"Income-tax Act, 1961"
,2 of 2,"Indian Income-tax Act, 1922"
1820,1 of 5,"Bombay Provincial Municipal Corporations Act, 1949"
,2 of 5,"Company as defined in section 617 of the Companies Act, 1956"
,3 of 5,"Vacant Lands in Urban Areas Prohibition of Alienation Act, 1972"
,4 of 5,"Gujarat Municipalities Act, 1963"
,5 of 5,"Bombay Town Planning Act, 1954"
1821,1 of 1,"Bombay Police Act, 1951"
1822,0 of 0,Empty
1823,1 of 4,Limitation Act
,2 of 4,With the companying into force of the Hindu Succession Act
,3 of 4,Tenancy Act
,4 of 4,Indian Evidence Act
1824,0 of 0,Empty
1825,1 of 3,"October, 1965 in fac"
,2 of 3,State ac
,3 of 3,"April, 1964. In fac"
1826,1 of 2,"National Health Service Act, 1946"
,2 of 2,"Council of India under s. 33 of the Indian Medical Council Act, 1956"
1827,1 of 3,Section 21 of the General Clauses Act. 1897
,2 of 3,"General Clauses Act, 1897"
,3 of 3,"Maintenance of Internal Security Act, 1971"
1828,1 of 2,"Preventive Detention Act, 1950"
,2 of 2,"Maintenance of Internal Security Act, 1971"
1829,1 of 1,"Representation of the People Act, 1951"
1830,1 of 5,"Act is based upon the provisions of s. 18 of the Gaming Act, 1845"
,2 of 5,"Section 9 of the Bombay Forward Contracts Control Act, 1947"
,3 of 5,"Forward Contract Regulation Act, 1952"
,4 of 5,"Gaming Act, 1892"
,5 of 5,"Sec. 17 of the Essential Supplies Temporary Powers Act, 1946"
1831,1 of 4,"Act. Section 16 6 of the English Arbitration Act, 1934"
,2 of 4,"Arbitration Act, 1950"
,3 of 4,"Arbitration Act, 1940"
,4 of 4,"The owner-, applied under s. 27 of the Arbitration Act. 1950"
1832,1 of 4,"Hyderabad Tenancy and Agricultural Land Act, 1950"
,2 of 4,"The Hyderabad Abolition of Inams and Cash Grants Act, 1954"
,3 of 4,"Hyderabad Tenancy and Agricultural Lands Amendment Act, 1957"
,4 of 4,"Hyderabad Abolition of Inams Amendment Act, 1956"
1833,1 of 2,"Court under the Land Acquisition Act, 1894"
,2 of 2,"Section 59 a of the Punjab Town Improvement Act, 1222"
1834,1 of 1,"Corruption Act, 1947"
1835,1 of 2,"Act. Section 34 of the Delhi and Ajmer Rent Control Act, 1952"
,2 of 2,"Bombay Rents Hotel and Lodging House Rates Control Act, 1947"
1836,1 of 1,"Maintenance of Internal Security Act, 1971"
1837,1 of 1,"Section 3 of the Maintenance of Internal Security Act, 1971"
1838,1 of 1,"Pepsu Tenancy and Agricultural Lands Second Amendment Act, 1956"
1839,1 of 2,We have called for and perused the companyy of the Act
,2 of 2,"Bihar, Hindu Religious Trusts Act"
1840,1 of 1,Bombay Prevention of Gambling Act
1841,1 of 2,"April 15, 1964. Clause a of Sec. 147 of the Income Tax Act, 1961"
,2 of 2,"Hyderabad, numberices under sec. 148 of the income Tax Act, 1961"
1842,1 of 1,"Displaced Persons Compensation Rehabilitation Act, 1954"
1843,1 of 6,"Madras Motor Vehicles Taxation Amendment Act, 1967"
,2 of 6,"Taxation on Goods carried by Roads and Inland Waterways Act, 1954"
,3 of 6,"Under s. 46 of the Motor Vehicles Act, 1939"
,4 of 6,"Nadu Motor Vehicles Taxation of Passengers and Goods Act, 1952"
,5 of 6,"Rajasthan Motor Vehicles Taxation Act, 1951"
,6 of 6,"Madras Motor Vehicles Taxation Act, 1931"
1844,1 of 3,"Court held that the word assessment in-the Finance Act, 1950"
,2 of 3,"Indian Income-tax Act, 1922"
,3 of 3,"Act. According to section 2 8 of the Income-tax Act, 1961"
1845,1 of 1,"Supp. 1 S.C.R. 364. Sea Customs Act, 1878"
1846,1 of 4,Scheduled annexed to the Act
,2 of 4,West Bengal Criminal Law Amendment Special Courts Act
,3 of 4,Special Courts Act XXI of Hereinafter referred to as the Act
,4 of 4,No. 2 in the schedule of Act
1847,0 of 0,Empty
1848,1 of 4,"Under s. 28 1 of the Trade and Merchandise Marks Act, 1958"
,2 of 4,"Trade and .,Merchandise Marks Act, 1958"
,3 of 4,"The plaintiffs marks were registered under the Trade Marks Act, 1940"
,4 of 4,"Marks Act of 1940 was based on the English Trade Marks Act, 1938"
1849,1 of 2,"Lucknow University Act, 1920"
,2 of 2,"Education Scotland Act, 1962"
1850,0 of 0,Empty
1851,1 of 2,Code and section 5 1  a of the Prevention of Corruption Act
,2 of 2,Code and section 5 1  a of Prevention of Corruption Act
1852,1 of 1,"Court, under section 3 of the Commissions of Inquiry Act, 1952"
1853,1 of 2,"Land Acquisition Act, 1894"
,2 of 2,"Bihar Private Forest Act, 1947"
1854,1 of 4,"Act, repeals several acts including the Madras Estates Land Act, 1908"
,2 of 4,"Revenue Recovery Act, 1864, the Madras Irrigation Cess Act, 1865"
,3 of 4,"It further provides that the Madras Revenue Recovery Act, 1864"
,4 of 4,"Estates under the Estates Abolition Act, 1948"
1855,1 of 4,"Uttar Pradesh Co- operative Societies Act, 1965"
,2 of 4,Co-operative Societies Act. 1965
,3 of 4,"Uttar Pradesh Co-operative Societies Act, 1965"
,4 of 4,"Co-operative Societies Act, 1912"
1856,1 of 3,"The Income-tax Officer applied S. 52 of the Income-tax Act, 1961"
,2 of 3,"Income-tax Act, 1922"
,3 of 3,"Tribunal was right in holding, that s. 52 of the Income tax Act, 1961"
1857,1 of 1,Imports and Exports Control Act
1858,1 of 2,"Guardianship Act 1956, the Hindu Adoption and Maintenance Act, 1956"
,2 of 2,"Wealth tax Act, 1957"
1859,1 of 1,"Section 29 of the Indian Arms Act, 1878"
1860,1 of 9,Bank under section 11 of the Act
,2 of 9,Sons and Ors. 1 held that under section 25 1 of the Act
,3 of 9,Banks from the application of the provisions of the Act
,4 of 9,"Scheduled Bank, the provisions of the Act"
,5 of 9,Hyderabad Jagirdars Debt Settlement Act
,6 of 9,Article 14 as was section 2 e of the Rajasthan Act
,7 of 9,"High Court referred to above. Further, section 3 of the Act"
,8 of 9,Jagirdars Debt Settlement Act 1952 hereinafter called the Act
,9 of 9,Bank were debts which were pending on the date of the Act
1861,1 of 17,Disciplinary Authority had overlooked the fac
,2 of 17,The procedure in fac
,3 of 17,From the fac
,4 of 17,After learning that fac
,5 of 17,"Sivaraman is illegally trained, he is number a legal prac"
,6 of 17,"Disciplinary Authority, but may number engage a legal prac"
,7 of 17,Sivaraman was a legal prac
,8 of 17,Sivaraman wag a legal prac
,9 of 17,The fac
,10 of 17,Pet v. Greyhound Racing Association Ltd. 4 . The fac
,11 of 17,"Thereafter, it is said that the appellant ac"
,12 of 17,In such enquiries fairly simple questions of fac
,13 of 17,"Central Civil Services  Conduct  Rules, 1955. The fac"
,14 of 17,In such a situation he cannot be expected to ac
,15 of 17,Government servant may number engage a legal prac
,16 of 17,Disciplinary Authority as aforesaid is a legal prac
,17 of 17,Sivaraman was number a legal prac
1862,1 of 1,Arbitration Act
1863,1 of 1,"Appeal under s. 116-A of the Representation of the People Act, 1951"
1864,1 of 7,Minister in charge of the Forest Department to do an ac
,2 of 7,"Divisional Forest Officer, directing him number to take any ac"
,3 of 7,"Finance Department might number have agreed, numberfurther ac"
,4 of 7,"Finance Department, is only directory in charac"
,5 of 7,He further said the fac
,6 of 7,"Madras, 366. Williston On Contrac"
,7 of 7,"Court said that, to have an enforceable companytrac"
1865,1 of 2,"Land Improvement Schemes Act, 1942"
,2 of 2,"Bombay Land Improvement Schemes, Act, 1942"
1866,1 of 3,Corruption Act 1947 hereinafter referred to as the Act
,2 of 3,"Probation of Offenders Act makes, the provisions of that Act"
,3 of 3,Prevention of Corruption Act
1867,0 of 0,Empty
1868,1 of 1,"Contempt of Courts Act, 1952"
1869,1 of 5,"Preventive Detention Act, 1950"
,2 of 5,"Arms Act, 1959"
,3 of 5,"West Bengal Prevention of Violent Activities Act, 1970"
,4 of 5,"Arms Act 1959 or the Explosive Substances Act, 1908"
,5 of 5,"Detention Act, IV of 1950, or the Defence of India Act, 1952"
1870,1 of 1,Proviso 6 to Sec. 92 of the Indian Evidence Act
1871,1 of 3,West Bengal Prevention of Violent Activities Act
,2 of 3,Penal Code and sec. 6 3 of the Explosive Substances Act
,3 of 3,"Bengal Prevention of Violent Activities Act, Presidents Act"
1872,1 of 3,"Section 29 of the Bihar and Orissa Excise Act, 1915"
,2 of 3,"Indian Councils Act, 1892"
,3 of 3,"Government under S. 29 of the Bihar and Orissa Excise Act, 1915"
1873,1 of 1,"Section 116-A of the Representation of the People Act, 1951"
1874,1 of 6,"Industrial Disputes Appellate Tribunal Act, 1950"
,2 of 6,"Army Act, 1950, or the Air Force Act, 1950"
,3 of 6,"Air Force Act, 1950 or the Navy Discipline Act, 1934"
,4 of 6,"Court at Delhi under s. 33C 2 of the Industrial Disputes Act, 1947"
,5 of 6,"Industrial Disputes Appellate Tribunal ,Act, 1950"
,6 of 6,"Companies Act, 1956"
1875,1 of 7,The main scheme of these Act
,2 of 7,Urban Rent Restriction Act 1949 hereinafter called the Act
,3 of 7,Punjab under section 3 of the Punjab Urban Rent Restriction Act
,4 of 7,Punjab Urban-Rent Restriction Act
,5 of 7,"Unlike other Rent Control legislations, this Act"
,6 of 7,One of such legislations is the Act
,7 of 7,"Act, it is necessary to refer to section 13 of the Act"
1876,1 of 2,Act or to affect the provisions of section 27 of that Act
,2 of 2,Indian Evidence Act
1877,1 of 2,"Industrial Disputes Act, 1947"
