Index,Sections number,Sections
999,0 of 0,Empty
1000,0 of 0,Empty
1001,0 of 0,Empty
1002,0 of 0,Empty
1003,0 of 0,Empty
1004,0 of 0,Empty
1005,0 of 0,Empty
1006,0 of 0,Empty
1007,0 of 0,Empty
1008,0 of 0,Empty
1009,0 of 0,Empty
1010,0 of 0,Empty
1011,0 of 0,Empty
1012,0 of 0,Empty
1013,0 of 0,Empty
1014,0 of 0,Empty
1015,0 of 0,Empty
1016,0 of 0,Empty
1017,0 of 0,Empty
1018,0 of 0,Empty
1019,1 of 2,Section 2 IPC
,2 of 2,Section 34 IPC
1020,0 of 0,Empty
1021,0 of 0,Empty
1022,0 of 0,Empty
1023,0 of 0,Empty
1024,0 of 0,Empty
1025,0 of 0,Empty
1026,0 of 0,Empty
1027,0 of 0,Empty
1028,0 of 0,Empty
1029,0 of 0,Empty
1030,0 of 0,Empty
1031,0 of 0,Empty
1032,0 of 0,Empty
1033,0 of 0,Empty
1034,0 of 0,Empty
1035,0 of 0,Empty
1036,0 of 0,Empty
1037,0 of 0,Empty
1038,0 of 0,Empty
1039,0 of 0,Empty
1040,0 of 0,Empty
1041,0 of 0,Empty
1042,0 of 0,Empty
1043,0 of 0,Empty
1044,0 of 0,Empty
1045,0 of 0,Empty
1046,0 of 0,Empty
1047,0 of 0,Empty
1048,0 of 0,Empty
1049,0 of 0,Empty
1050,0 of 0,Empty
1051,0 of 0,Empty
1052,0 of 0,Empty
1053,0 of 0,Empty
1054,0 of 0,Empty
1055,0 of 0,Empty
1056,0 of 0,Empty
1057,0 of 0,Empty
1058,0 of 0,Empty
1059,0 of 0,Empty
1060,0 of 0,Empty
1061,0 of 0,Empty
1062,0 of 0,Empty
1063,0 of 0,Empty
1064,0 of 0,Empty
1065,0 of 0,Empty
1066,0 of 0,Empty
1067,0 of 0,Empty
1068,0 of 0,Empty
1069,0 of 0,Empty
1070,0 of 0,Empty
1071,0 of 0,Empty
1072,0 of 0,Empty
1073,1 of 1,Section 292 IPC
1074,0 of 0,Empty
1075,1 of 2,Section 4 CrPC
,2 of 2,Section 5 CrPC
1076,0 of 0,Empty
1077,0 of 0,Empty
1078,0 of 0,Empty
1079,0 of 0,Empty
1080,0 of 0,Empty
1081,0 of 0,Empty
1082,0 of 0,Empty
1083,0 of 0,Empty
1084,0 of 0,Empty
1085,0 of 0,Empty
1086,0 of 0,Empty
1087,0 of 0,Empty
1088,0 of 0,Empty
1089,0 of 0,Empty
1090,0 of 0,Empty
1091,0 of 0,Empty
1092,0 of 0,Empty
1093,0 of 0,Empty
1094,0 of 0,Empty
1095,0 of 0,Empty
1096,0 of 0,Empty
1097,0 of 0,Empty
1098,0 of 0,Empty
1099,0 of 0,Empty
1100,0 of 0,Empty
1101,0 of 0,Empty
1102,0 of 0,Empty
1103,0 of 0,Empty
1104,0 of 0,Empty
1105,0 of 0,Empty
1106,0 of 0,Empty
1107,0 of 0,Empty
1108,0 of 0,Empty
1109,0 of 0,Empty
1110,0 of 0,Empty
1111,1 of 1,Section 34 IPC
1112,0 of 0,Empty
1113,0 of 0,Empty
1114,0 of 0,Empty
1115,0 of 0,Empty
1116,1 of 1,Section 34 IPC
1117,0 of 0,Empty
1118,0 of 0,Empty
1119,0 of 0,Empty
1120,0 of 0,Empty
1121,0 of 0,Empty
1122,0 of 0,Empty
1123,0 of 0,Empty
1124,0 of 0,Empty
1125,0 of 0,Empty
1126,0 of 0,Empty
1127,0 of 0,Empty
1128,0 of 0,Empty
1129,0 of 0,Empty
1130,0 of 0,Empty
1131,0 of 0,Empty
1132,0 of 0,Empty
1133,0 of 0,Empty
1134,0 of 0,Empty
1135,0 of 0,Empty
1136,0 of 0,Empty
1137,0 of 0,Empty
1138,0 of 0,Empty
1139,0 of 0,Empty
1140,0 of 0,Empty
1141,0 of 0,Empty
1142,0 of 0,Empty
1143,1 of 1,Section 203 CrPC
1144,0 of 0,Empty
1145,0 of 0,Empty
1146,0 of 0,Empty
1147,0 of 0,Empty
1148,0 of 0,Empty
1149,0 of 0,Empty
1150,0 of 0,Empty
1151,0 of 0,Empty
1152,0 of 0,Empty
1153,0 of 0,Empty
1154,0 of 0,Empty
1155,0 of 0,Empty
1156,0 of 0,Empty
1157,0 of 0,Empty
1158,0 of 0,Empty
1159,0 of 0,Empty
1160,0 of 0,Empty
1161,0 of 0,Empty
1162,0 of 0,Empty
1163,0 of 0,Empty
1164,0 of 0,Empty
1165,0 of 0,Empty
1166,0 of 0,Empty
1167,0 of 0,Empty
1168,0 of 0,Empty
1169,0 of 0,Empty
1170,0 of 0,Empty
1171,0 of 0,Empty
1172,0 of 0,Empty
1173,0 of 0,Empty
1174,0 of 0,Empty
1175,0 of 0,Empty
1176,0 of 0,Empty
1177,0 of 0,Empty
1178,0 of 0,Empty
1179,0 of 0,Empty
1180,0 of 0,Empty
1181,0 of 0,Empty
1182,0 of 0,Empty
1183,0 of 0,Empty
1184,0 of 0,Empty
1185,0 of 0,Empty
1186,0 of 0,Empty
1187,1 of 1,Section 479 CrPC
1188,0 of 0,Empty
1189,0 of 0,Empty
1190,0 of 0,Empty
1191,0 of 0,Empty
1192,0 of 0,Empty
1193,0 of 0,Empty
1194,0 of 0,Empty
1195,0 of 0,Empty
1196,0 of 0,Empty
1197,0 of 0,Empty
1198,0 of 0,Empty
1199,0 of 0,Empty
1200,0 of 0,Empty
1201,0 of 0,Empty
1202,0 of 0,Empty
1203,0 of 0,Empty
1204,0 of 0,Empty
1205,0 of 0,Empty
1206,0 of 0,Empty
1207,0 of 0,Empty
1208,0 of 0,Empty
1209,0 of 0,Empty
1210,0 of 0,Empty
1211,0 of 0,Empty
1212,0 of 0,Empty
1213,0 of 0,Empty
1214,0 of 0,Empty
1215,0 of 0,Empty
1216,0 of 0,Empty
1217,0 of 0,Empty
1218,0 of 0,Empty
1219,0 of 0,Empty
1220,0 of 0,Empty
1221,0 of 0,Empty
1222,0 of 0,Empty
1223,0 of 0,Empty
1224,0 of 0,Empty
1225,0 of 0,Empty
1226,0 of 0,Empty
1227,0 of 0,Empty
1228,0 of 0,Empty
1229,0 of 0,Empty
1230,0 of 0,Empty
1231,0 of 0,Empty
1232,0 of 0,Empty
1233,0 of 0,Empty
1234,0 of 0,Empty
1235,0 of 0,Empty
1236,1 of 1,Section 207 CrPC
1237,0 of 0,Empty
1238,0 of 0,Empty
1239,0 of 0,Empty
1240,0 of 0,Empty
1241,0 of 0,Empty
1242,0 of 0,Empty
1243,0 of 0,Empty
1244,0 of 0,Empty
1245,0 of 0,Empty
1246,0 of 0,Empty
1247,0 of 0,Empty
1248,0 of 0,Empty
1249,0 of 0,Empty
1250,0 of 0,Empty
1251,0 of 0,Empty
1252,0 of 0,Empty
1253,0 of 0,Empty
1254,0 of 0,Empty
1255,0 of 0,Empty
1256,0 of 0,Empty
1257,0 of 0,Empty
1258,0 of 0,Empty
1259,0 of 0,Empty
1260,0 of 0,Empty
1261,1 of 4,Section 47 IPC
,2 of 4,Section 477-A IPC
,3 of 4,Section 409 IPC
,4 of 4,Section 120-B IPC
1262,0 of 0,Empty
1263,0 of 0,Empty
1264,0 of 0,Empty
1265,1 of 1,Section 304 IPC
1266,0 of 0,Empty
1267,0 of 0,Empty
1268,1 of 1,Section 463 IPC
1269,0 of 0,Empty
1270,0 of 0,Empty
1271,0 of 0,Empty
1272,0 of 0,Empty
1273,0 of 0,Empty
1274,0 of 0,Empty
1275,0 of 0,Empty
1276,0 of 0,Empty
1277,0 of 0,Empty
1278,0 of 0,Empty
1279,0 of 0,Empty
1280,0 of 0,Empty
1281,0 of 0,Empty
1282,0 of 0,Empty
1283,0 of 0,Empty
1284,0 of 0,Empty
1285,0 of 0,Empty
1286,0 of 0,Empty
1287,0 of 0,Empty
1288,0 of 0,Empty
1289,0 of 0,Empty
1290,0 of 0,Empty
1291,0 of 0,Empty
1292,0 of 0,Empty
1293,1 of 2,Section 190 CrPC
,2 of 2,Section 1 CrPC
1294,0 of 0,Empty
1295,0 of 0,Empty
1296,0 of 0,Empty
1297,0 of 0,Empty
1298,0 of 0,Empty
1299,0 of 0,Empty
1300,0 of 0,Empty
1301,0 of 0,Empty
1302,0 of 0,Empty
1303,0 of 0,Empty
1304,0 of 0,Empty
1305,0 of 0,Empty
1306,0 of 0,Empty
1307,0 of 0,Empty
1308,0 of 0,Empty
1309,0 of 0,Empty
1310,0 of 0,Empty
1311,0 of 0,Empty
1312,0 of 0,Empty
1313,0 of 0,Empty
1314,0 of 0,Empty
1315,0 of 0,Empty
1316,0 of 0,Empty
1317,0 of 0,Empty
1318,0 of 0,Empty
1319,0 of 0,Empty
1320,0 of 0,Empty
1321,0 of 0,Empty
1322,0 of 0,Empty
1323,0 of 0,Empty
1324,0 of 0,Empty
1325,0 of 0,Empty
1326,0 of 0,Empty
1327,0 of 0,Empty
1328,0 of 0,Empty
1329,0 of 0,Empty
1330,0 of 0,Empty
1331,0 of 0,Empty
1332,0 of 0,Empty
1333,0 of 0,Empty
1334,0 of 0,Empty
1335,0 of 0,Empty
1336,0 of 0,Empty
1337,0 of 0,Empty
1338,0 of 0,Empty
1339,0 of 0,Empty
1340,0 of 0,Empty
1341,0 of 0,Empty
1342,0 of 0,Empty
1343,0 of 0,Empty
1344,0 of 0,Empty
1345,0 of 0,Empty
1346,0 of 0,Empty
1347,0 of 0,Empty
1348,0 of 0,Empty
1349,0 of 0,Empty
1350,0 of 0,Empty
1351,0 of 0,Empty
1352,0 of 0,Empty
1353,0 of 0,Empty
1354,0 of 0,Empty
1355,0 of 0,Empty
1356,0 of 0,Empty
1357,0 of 0,Empty
1358,0 of 0,Empty
1359,0 of 0,Empty
1360,0 of 0,Empty
1361,0 of 0,Empty
1362,0 of 0,Empty
1363,0 of 0,Empty
1364,0 of 0,Empty
1365,1 of 1,Section 161 IPC
1366,0 of 0,Empty
1367,0 of 0,Empty
1368,0 of 0,Empty
1369,0 of 0,Empty
1370,0 of 0,Empty
1371,0 of 0,Empty
1372,0 of 0,Empty
1373,0 of 0,Empty
1374,0 of 0,Empty
1375,0 of 0,Empty
1376,0 of 0,Empty
1377,0 of 0,Empty
1378,0 of 0,Empty
1379,0 of 0,Empty
1380,0 of 0,Empty
1381,0 of 0,Empty
1382,0 of 0,Empty
1383,0 of 0,Empty
1384,0 of 0,Empty
1385,0 of 0,Empty
1386,0 of 0,Empty
1387,0 of 0,Empty
1388,0 of 0,Empty
1389,0 of 0,Empty
1390,0 of 0,Empty
1391,0 of 0,Empty
1392,0 of 0,Empty
1393,0 of 0,Empty
1394,0 of 0,Empty
1395,0 of 0,Empty
1396,0 of 0,Empty
1397,0 of 0,Empty
1398,0 of 0,Empty
1399,0 of 0,Empty
1400,0 of 0,Empty
1401,0 of 0,Empty
1402,0 of 0,Empty
1403,1 of 3,Section 161 CrPC
,2 of 3,Section 46 CrPC
,3 of 3,Section 162 CrPC
1404,0 of 0,Empty
1405,0 of 0,Empty
1406,0 of 0,Empty
1407,0 of 0,Empty
1408,0 of 0,Empty
1409,0 of 0,Empty
1410,0 of 0,Empty
1411,0 of 0,Empty
1412,0 of 0,Empty
1413,0 of 0,Empty
1414,0 of 0,Empty
1415,0 of 0,Empty
1416,0 of 0,Empty
1417,0 of 0,Empty
1418,0 of 0,Empty
1419,0 of 0,Empty
1420,0 of 0,Empty
1421,0 of 0,Empty
1422,0 of 0,Empty
1423,0 of 0,Empty
1424,0 of 0,Empty
1425,0 of 0,Empty
1426,0 of 0,Empty
1427,0 of 0,Empty
1428,0 of 0,Empty
1429,0 of 0,Empty
1430,0 of 0,Empty
1431,0 of 0,Empty
1432,0 of 0,Empty
1433,0 of 0,Empty
1434,0 of 0,Empty
1435,0 of 0,Empty
1436,0 of 0,Empty
1437,0 of 0,Empty
1438,0 of 0,Empty
1439,0 of 0,Empty
1440,0 of 0,Empty
1441,0 of 0,Empty
1442,0 of 0,Empty
1443,0 of 0,Empty
1444,0 of 0,Empty
1445,0 of 0,Empty
1446,0 of 0,Empty
1447,0 of 0,Empty
1448,0 of 0,Empty
1449,0 of 0,Empty
1450,0 of 0,Empty
1451,0 of 0,Empty
1452,0 of 0,Empty
1453,0 of 0,Empty
1454,0 of 0,Empty
1455,0 of 0,Empty
1456,0 of 0,Empty
1457,0 of 0,Empty
1458,0 of 0,Empty
1459,0 of 0,Empty
1460,0 of 0,Empty
1461,0 of 0,Empty
1462,0 of 0,Empty
1463,0 of 0,Empty
1464,0 of 0,Empty
1465,0 of 0,Empty
1466,0 of 0,Empty
1467,0 of 0,Empty
1468,0 of 0,Empty
1469,0 of 0,Empty
1470,0 of 0,Empty
1471,0 of 0,Empty
1472,0 of 0,Empty
1473,0 of 0,Empty
1474,0 of 0,Empty
1475,0 of 0,Empty
1476,0 of 0,Empty
1477,0 of 0,Empty
1478,0 of 0,Empty
1479,0 of 0,Empty
1480,0 of 0,Empty
1481,0 of 0,Empty
1482,0 of 0,Empty
1483,0 of 0,Empty
1484,0 of 0,Empty
1485,0 of 0,Empty
1486,0 of 0,Empty
1487,0 of 0,Empty
1488,0 of 0,Empty
1489,0 of 0,Empty
1490,0 of 0,Empty
1491,0 of 0,Empty
1492,0 of 0,Empty
1493,0 of 0,Empty
1494,0 of 0,Empty
1495,0 of 0,Empty
1496,0 of 0,Empty
1497,0 of 0,Empty
1498,0 of 0,Empty
1499,0 of 0,Empty
1500,0 of 0,Empty
1501,0 of 0,Empty
1502,0 of 0,Empty
1503,0 of 0,Empty
1504,0 of 0,Empty
1505,0 of 0,Empty
1506,0 of 0,Empty
1507,0 of 0,Empty
1508,0 of 0,Empty
1509,0 of 0,Empty
1510,1 of 1,Section 133 CrPC
1511,0 of 0,Empty
1512,0 of 0,Empty
1513,0 of 0,Empty
1514,0 of 0,Empty
1515,0 of 0,Empty
1516,0 of 0,Empty
1517,0 of 0,Empty
1518,0 of 0,Empty
1519,0 of 0,Empty
1520,0 of 0,Empty
1521,0 of 0,Empty
1522,0 of 0,Empty
1523,0 of 0,Empty
1524,0 of 0,Empty
1525,0 of 0,Empty
1526,0 of 0,Empty
1527,0 of 0,Empty
1528,0 of 0,Empty
1529,0 of 0,Empty
1530,0 of 0,Empty
1531,0 of 0,Empty
1532,0 of 0,Empty
1533,0 of 0,Empty
1534,0 of 0,Empty
1535,0 of 0,Empty
1536,0 of 0,Empty
1537,0 of 0,Empty
1538,0 of 0,Empty
1539,0 of 0,Empty
1540,0 of 0,Empty
1541,0 of 0,Empty
1542,0 of 0,Empty
1543,0 of 0,Empty
1544,0 of 0,Empty
1545,0 of 0,Empty
1546,0 of 0,Empty
1547,0 of 0,Empty
1548,0 of 0,Empty
1549,0 of 0,Empty
1550,0 of 0,Empty
1551,0 of 0,Empty
1552,0 of 0,Empty
1553,0 of 0,Empty
1554,0 of 0,Empty
1555,0 of 0,Empty
1556,0 of 0,Empty
1557,0 of 0,Empty
1558,0 of 0,Empty
1559,0 of 0,Empty
1560,0 of 0,Empty
1561,0 of 0,Empty
1562,0 of 0,Empty
1563,1 of 2,Section 165 IPC
,2 of 2,Section 161 IPC
1564,0 of 0,Empty
1565,0 of 0,Empty
1566,0 of 0,Empty
1567,0 of 0,Empty
1568,0 of 0,Empty
1569,0 of 0,Empty
1570,0 of 0,Empty
1571,0 of 0,Empty
1572,1 of 1,Section 218 IPC
1573,0 of 0,Empty
1574,0 of 0,Empty
1575,0 of 0,Empty
1576,0 of 0,Empty
1577,0 of 0,Empty
1578,0 of 0,Empty
1579,0 of 0,Empty
1580,0 of 0,Empty
1581,0 of 0,Empty
1582,0 of 0,Empty
1583,0 of 0,Empty
1584,0 of 0,Empty
1585,0 of 0,Empty
1586,0 of 0,Empty
1587,0 of 0,Empty
1588,0 of 0,Empty
1589,0 of 0,Empty
1590,0 of 0,Empty
1591,0 of 0,Empty
1592,0 of 0,Empty
1593,0 of 0,Empty
1594,0 of 0,Empty
1595,0 of 0,Empty
1596,0 of 0,Empty
1597,0 of 0,Empty
1598,0 of 0,Empty
1599,0 of 0,Empty
1600,0 of 0,Empty
1601,0 of 0,Empty
1602,0 of 0,Empty
1603,0 of 0,Empty
1604,0 of 0,Empty
1605,0 of 0,Empty
1606,0 of 0,Empty
1607,0 of 0,Empty
1608,0 of 0,Empty
1609,0 of 0,Empty
1610,0 of 0,Empty
1611,1 of 1,Section 176 IPC
1612,0 of 0,Empty
1613,0 of 0,Empty
1614,0 of 0,Empty
1615,0 of 0,Empty
1616,0 of 0,Empty
1617,0 of 0,Empty
1618,0 of 0,Empty
1619,0 of 0,Empty
1620,0 of 0,Empty
1621,0 of 0,Empty
1622,0 of 0,Empty
1623,0 of 0,Empty
1624,0 of 0,Empty
1625,0 of 0,Empty
1626,0 of 0,Empty
1627,0 of 0,Empty
1628,0 of 0,Empty
1629,0 of 0,Empty
1630,0 of 0,Empty
1631,0 of 0,Empty
1632,0 of 0,Empty
1633,0 of 0,Empty
1634,0 of 0,Empty
1635,0 of 0,Empty
1636,0 of 0,Empty
1637,0 of 0,Empty
1638,0 of 0,Empty
1639,0 of 0,Empty
1640,0 of 0,Empty
1641,0 of 0,Empty
1642,0 of 0,Empty
1643,0 of 0,Empty
1644,0 of 0,Empty
1645,0 of 0,Empty
1646,0 of 0,Empty
1647,0 of 0,Empty
1648,0 of 0,Empty
1649,0 of 0,Empty
1650,0 of 0,Empty
1651,0 of 0,Empty
1652,0 of 0,Empty
1653,0 of 0,Empty
1654,0 of 0,Empty
1655,0 of 0,Empty
1656,0 of 0,Empty
1657,0 of 0,Empty
1658,0 of 0,Empty
1659,0 of 0,Empty
1660,0 of 0,Empty
1661,0 of 0,Empty
1662,0 of 0,Empty
1663,1 of 2,Section 20 CrPC
,2 of 2,Section 14 CrPC
1664,0 of 0,Empty
1665,0 of 0,Empty
1666,0 of 0,Empty
1667,0 of 0,Empty
1668,0 of 0,Empty
1669,0 of 0,Empty
1670,0 of 0,Empty
1671,0 of 0,Empty
1672,0 of 0,Empty
1673,0 of 0,Empty
1674,0 of 0,Empty
1675,0 of 0,Empty
1676,0 of 0,Empty
1677,0 of 0,Empty
1678,0 of 0,Empty
1679,0 of 0,Empty
1680,0 of 0,Empty
1681,0 of 0,Empty
1682,0 of 0,Empty
1683,0 of 0,Empty
1684,0 of 0,Empty
1685,0 of 0,Empty
1686,0 of 0,Empty
1687,0 of 0,Empty
1688,0 of 0,Empty
1689,0 of 0,Empty
1690,0 of 0,Empty
1691,0 of 0,Empty
1692,0 of 0,Empty
1693,0 of 0,Empty
1694,0 of 0,Empty
1695,0 of 0,Empty
1696,0 of 0,Empty
1697,0 of 0,Empty
1698,0 of 0,Empty
1699,0 of 0,Empty
1700,0 of 0,Empty
1701,0 of 0,Empty
1702,0 of 0,Empty
1703,1 of 1,Section 562 CrPC
1704,0 of 0,Empty
1705,0 of 0,Empty
1706,0 of 0,Empty
1707,0 of 0,Empty
1708,0 of 0,Empty
1709,0 of 0,Empty
1710,0 of 0,Empty
1711,0 of 0,Empty
1712,0 of 0,Empty
1713,0 of 0,Empty
1714,0 of 0,Empty
1715,0 of 0,Empty
1716,0 of 0,Empty
1717,0 of 0,Empty
1718,0 of 0,Empty
1719,0 of 0,Empty
1720,0 of 0,Empty
1721,0 of 0,Empty
1722,0 of 0,Empty
1723,0 of 0,Empty
1724,1 of 2,Section 3 IPC
,2 of 2,Section 491 CrPC
1725,0 of 0,Empty
1726,0 of 0,Empty
1727,0 of 0,Empty
1728,0 of 0,Empty
1729,0 of 0,Empty
1730,0 of 0,Empty
1731,0 of 0,Empty
1732,1 of 4,Section 307 IPC
,2 of 4,Section 302 IPC
,3 of 4,Section 326 IPC
,4 of 4,Section 34 IPC
1733,0 of 0,Empty
1734,0 of 0,Empty
1735,0 of 0,Empty
1736,1 of 6,Section 147 IPC
,2 of 6,Section 302 IPC
,3 of 6,Section 149 IPC
,4 of 6,Section 364 IPC
,5 of 6,Section 342 IPC
,6 of 6,Section 323 IPC
1737,0 of 0,Empty
1738,0 of 0,Empty
1739,0 of 0,Empty
1740,0 of 0,Empty
1741,0 of 0,Empty
1742,0 of 0,Empty
1743,0 of 0,Empty
1744,0 of 0,Empty
1745,0 of 0,Empty
1746,0 of 0,Empty
1747,0 of 0,Empty
1748,0 of 0,Empty
1749,0 of 0,Empty
1750,0 of 0,Empty
1751,0 of 0,Empty
1752,0 of 0,Empty
1753,1 of 5,Section 120 IPC
,2 of 5,Section 2 IPC
,3 of 5,Section 161 IPC
,4 of 5,Section 5 IPC
,5 of 5,Section 1 IPC
1754,0 of 0,Empty
1755,0 of 0,Empty
1756,0 of 0,Empty
1757,0 of 0,Empty
1758,0 of 0,Empty
1759,0 of 0,Empty
1760,0 of 0,Empty
1761,0 of 0,Empty
1762,0 of 0,Empty
1763,0 of 0,Empty
1764,0 of 0,Empty
1765,0 of 0,Empty
1766,0 of 0,Empty
1767,0 of 0,Empty
1768,0 of 0,Empty
1769,0 of 0,Empty
1770,0 of 0,Empty
1771,0 of 0,Empty
1772,0 of 0,Empty
1773,0 of 0,Empty
1774,0 of 0,Empty
1775,0 of 0,Empty
1776,0 of 0,Empty
1777,0 of 0,Empty
1778,0 of 0,Empty
1779,0 of 0,Empty
1780,0 of 0,Empty
1781,0 of 0,Empty
1782,0 of 0,Empty
1783,0 of 0,Empty
1784,0 of 0,Empty
1785,0 of 0,Empty
1786,0 of 0,Empty
1787,0 of 0,Empty
1788,0 of 0,Empty
1789,0 of 0,Empty
1790,0 of 0,Empty
1791,0 of 0,Empty
1792,0 of 0,Empty
1793,0 of 0,Empty
1794,0 of 0,Empty
1795,1 of 2,Section 488 CrPC
,2 of 2,Section 1898 CrPC
1796,0 of 0,Empty
1797,0 of 0,Empty
1798,0 of 0,Empty
1799,0 of 0,Empty
1800,0 of 0,Empty
1801,0 of 0,Empty
1802,0 of 0,Empty
1803,0 of 0,Empty
1804,0 of 0,Empty
1805,0 of 0,Empty
1806,0 of 0,Empty
1807,0 of 0,Empty
1808,0 of 0,Empty
1809,0 of 0,Empty
1810,0 of 0,Empty
1811,1 of 3,Section 417 CrPC
,2 of 3,Section 1 CrPC
,3 of 3,Section 1898 CrPC
1812,0 of 0,Empty
1813,0 of 0,Empty
1814,0 of 0,Empty
1815,0 of 0,Empty
1816,0 of 0,Empty
1817,0 of 0,Empty
1818,0 of 0,Empty
1819,0 of 0,Empty
1820,0 of 0,Empty
1821,0 of 0,Empty
1822,0 of 0,Empty
1823,0 of 0,Empty
1824,0 of 0,Empty
1825,0 of 0,Empty
1826,0 of 0,Empty
1827,0 of 0,Empty
1828,0 of 0,Empty
1829,0 of 0,Empty
1830,0 of 0,Empty
1831,0 of 0,Empty
1832,0 of 0,Empty
1833,0 of 0,Empty
1834,0 of 0,Empty
1835,0 of 0,Empty
1836,0 of 0,Empty
1837,0 of 0,Empty
1838,0 of 0,Empty
1839,0 of 0,Empty
1840,1 of 3,Section 302 IPC
,2 of 3,Section 201 IPC
,3 of 3,Section 34 IPC
1841,0 of 0,Empty
1842,0 of 0,Empty
1843,0 of 0,Empty
1844,0 of 0,Empty
1845,1 of 2,Section 411 IPC
,2 of 2,Section 414 IPC
1846,1 of 1,Section 409 IPC
1847,0 of 0,Empty
1848,0 of 0,Empty
1849,0 of 0,Empty
1850,0 of 0,Empty
1851,1 of 19,Section 408 IPC
,2 of 19,Section 1962 IPC
,3 of 19,Section 36 IPC
,4 of 19,Section 403 CrPC
,5 of 19,Section 5 IPC
,6 of 19,Section 165 IPC
,7 of 19,Section 342 CrPC
,8 of 19,Section 120 IPC
,9 of 19,Section 347 IPC
,10 of 19,Section 2 IPC
,11 of 19,Section 218 IPC
,12 of 19,Section 161 IPC
,13 of 19,Section 1 IPC
,14 of 19,Section 000 IPC
,15 of 19,Section 14 IPC
,16 of 19,Section 420 IPC
,17 of 19,Section 429 CrPC
,18 of 19,Section 19 IPC
,19 of 19,Section 389 IPC
1852,0 of 0,Empty
1853,0 of 0,Empty
1854,0 of 0,Empty
1855,0 of 0,Empty
1856,0 of 0,Empty
1857,0 of 0,Empty
1858,0 of 0,Empty
1859,0 of 0,Empty
1860,0 of 0,Empty
1861,0 of 0,Empty
1862,0 of 0,Empty
1863,0 of 0,Empty
1864,0 of 0,Empty
1865,1 of 5,Section 34 IPC
,2 of 5,Section 2 IPC
,3 of 5,Section 403 IPC
,4 of 5,Section 5 IPC
,5 of 5,Section 409 IPC
1866,0 of 0,Empty
1867,0 of 0,Empty
1868,0 of 0,Empty
1869,1 of 2,Section 110 CrPC
,2 of 2,Section 1898 CrPC
1870,0 of 0,Empty
1871,0 of 0,Empty
1872,0 of 0,Empty
1873,0 of 0,Empty
1874,0 of 0,Empty
1875,0 of 0,Empty
1876,0 of 0,Empty
1877,0 of 0,Empty
1878,0 of 0,Empty
1879,0 of 0,Empty
1880,0 of 0,Empty
1881,0 of 0,Empty
1882,0 of 0,Empty
1883,0 of 0,Empty
1884,0 of 0,Empty
1885,0 of 0,Empty
1886,1 of 1,Section 21 IPC
1887,1 of 3,Section 107 CrPC
,2 of 3,Section 3 CrPC
,3 of 3,Section 7 CrPC
1888,0 of 0,Empty
1889,1 of 3,Section 99-C CrPC
,2 of 3,Section 99-F CrPC
,3 of 3,Section 1898 CrPC
1890,0 of 0,Empty
1891,0 of 0,Empty
1892,0 of 0,Empty
1893,0 of 0,Empty
1894,0 of 0,Empty
1895,0 of 0,Empty
1896,0 of 0,Empty
1897,0 of 0,Empty
1898,0 of 0,Empty
1899,1 of 3,Section 307 IPC
,2 of 3,Section 302 IPC
,3 of 3,Section 34 IPC
1900,1 of 3,Section 418 CrPC
,2 of 3,Section 423 CrPC
,3 of 3,Section 417 CrPC
1901,0 of 0,Empty
1902,0 of 0,Empty
1903,0 of 0,Empty
1904,0 of 0,Empty
1905,0 of 0,Empty
1906,0 of 0,Empty
1907,0 of 0,Empty
1908,0 of 0,Empty
1909,1 of 6,Section 34 IPC
,2 of 6,Section 2 IPC
,3 of 6,Section 302 IPC
,4 of 6,Section 45 IPC
,5 of 6,Section 323 IPC
,6 of 6,Section 325 IPC
1910,1 of 2,Section 1884 CrPC
,2 of 2,Section 115 CrPC
1911,0 of 0,Empty
1912,0 of 0,Empty
1913,0 of 0,Empty
1914,0 of 0,Empty
1915,0 of 0,Empty
1916,1 of 1,Section 342 CrPC
1917,0 of 0,Empty
1918,0 of 0,Empty
1919,0 of 0,Empty
1920,0 of 0,Empty
1921,0 of 0,Empty
1922,0 of 0,Empty
1923,0 of 0,Empty
1924,0 of 0,Empty
1925,0 of 0,Empty
1926,0 of 0,Empty
1927,0 of 0,Empty
1928,0 of 0,Empty
1929,0 of 0,Empty
1930,0 of 0,Empty
1931,0 of 0,Empty
1932,0 of 0,Empty
1933,0 of 0,Empty
1934,0 of 0,Empty
1935,0 of 0,Empty
1936,0 of 0,Empty
1937,0 of 0,Empty
1938,0 of 0,Empty
1939,0 of 0,Empty
1940,0 of 0,Empty
1941,0 of 0,Empty
1942,0 of 0,Empty
1943,0 of 0,Empty
1944,0 of 0,Empty
1945,0 of 0,Empty
1946,0 of 0,Empty
1947,0 of 0,Empty
1948,0 of 0,Empty
1949,0 of 0,Empty
1950,0 of 0,Empty
1951,0 of 0,Empty
1952,0 of 0,Empty
1953,0 of 0,Empty
1954,0 of 0,Empty
1955,0 of 0,Empty
1956,0 of 0,Empty
1957,0 of 0,Empty
1958,1 of 1,Section 392 IPC
1959,0 of 0,Empty
1960,0 of 0,Empty
1961,0 of 0,Empty
1962,0 of 0,Empty
1963,0 of 0,Empty
1964,0 of 0,Empty
1965,0 of 0,Empty
1966,0 of 0,Empty
1967,0 of 0,Empty
1968,0 of 0,Empty
1969,0 of 0,Empty
1970,0 of 0,Empty
1971,0 of 0,Empty
1972,0 of 0,Empty
1973,0 of 0,Empty
